device_id,chipset,cpu,gpu,screen_size_inch,refresh_rate_hz,display_type,resolution_width,resolution_height,main_camera_mp,main_camera_aperture,has_ois,optical_zoom_x,battery_mah,charging_w,weight_g,thickness_mm,has_5g
vivo_y16_11874,Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,6.51,60,IPS LCD,720,1600,13,2.2,0,0.0,5000,10,184.0,8.2,1
realme_13__13255,Mediatek Dimensity 7300 Energy (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,6.67,120,"AMOLED, 120Hz, HDR10+, 600 nits (typ), 2000 nits (peak)",1080,2400,50,1.8,1,0.0,5000,80,185.0,7.6,1
honor_400_pro_5g_13798,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 5x2.95 GHz Cortex-A720 & 2x2.0 GHz Cortex-A520),Adreno 750,6.7,120,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR Vivid, 5000 nits (peak)",1280,2800,200,1.9,1,3.0,5300,100,205.0,8.1,1
honor_x9d_5g_14176,Qualcomm Snapdragon 6 Gen 4 (4 nm),Octa-core (1x2.3 GHz Cortex-A720s & 3x2.2 GHz Cortex-A720s & 4x1.8 GHz Cortex-A520s),Adreno 810,6.79,120,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR, 800 nits (typ), 1800 nits (HBM), 6000 nits (peak)",1200,2640,108,1.8,1,0.0,8300,66,193.0,7.8,1
honor_600_5g__china__14681,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722,6.57,120,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR, 800 nits (typ), 1800 nits (HBM), 8000 nits (peak)",1264,2728,200,1.9,1,3.0,8600,80,201.0,8.0,1
honor_x8d_14351,Qualcomm Snapdragon 6s 4G Gen 2,Octa-core (4x2.9 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,6.77,120,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, 800 nits (typ), 1300 nits (HBM), 3000 nits (peak)",1080,2392,108,1.8,1,0.0,7000,45,188.0,7.5,1
honor_x7d_5g_14175,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 619,6.77,120,"TFT LCD, 120Hz, 850 nits (HBM)",720,1610,50,1.8,0,0.0,6500,35,206.0,8.2,1
honor_magic_v5_13982,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,7.95,120,"Foldable LTPO AMOLED, 1B colors, 120Hz, 5000 nits (peak)",2172,2352,50,1.6,1,3.0,5820,66,217.0,4.1,1
honor_400_5g__china__13930,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722,6.55,120,"AMOLED, 1B colors, 120Hz, HDR, 5000 nits (peak)",1264,2736,200,1.9,1,0.0,7200,80,196.0,7.8,1
honor_x6c_13938,Mediatek Helio G81 Ultra (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,6.61,120,"TFT LCD, 120Hz, 1010 nits (peak)",720,1604,50,1.8,0,0.0,5300,35,199.0,8.4,1
honor_x5c_plus_14156,Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,6.74,90,"TFT LCD, 90Hz",720,1600,50,1.8,0,0.0,5260,15,186.0,7.9,0
honor_play_9230,Kirin 970 (10 nm),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G72 MP12,6.3,60,IPS LCD,1080,2340,16,2.2,0,0.0,3750,18,176.0,7.5,0
tecno_camon_40_13697,Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6.78,120,"AMOLED, 120Hz",1080,2436,50,1.9,1,0.0,5200,45,177.2,7.3,1
tecno_pova_curve_2_5g_14384,Mediatek Dimensity 7100 (6 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC2,6.78,144,"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 1600 nits (HBM), 4500 nits (peak)",1080,2364,50,1.8,1,0.0,8000,45,195.0,7.4,1
